 Gift $ ,X,Y
" $10,000 ",-81.404482,41.5193769
" $7,500 ",-81.404482,41.5193769
" $13,850 ",-81.5109676,41.4705379
" $5,000 ",-82.8253476,27.971761
" $23,202 ",-81.3311495,40.8923436
" $6,000 ",-80.1398534,26.8500904
" $20,000 ",-74.147054,39.943532
" $75,000 ",-76.4275806,40.3172954
" $15,000 ",-87.4826166,37.9804664
" $10,000 ",-84.8717193,38.1933097
" $10,000 ",-87.8692663,30.4996286
" $5,000 ",-86.8288805,33.354986
" $5,000 ",-86.8019205,33.4969339
" $36,000 ",-92.049853,30.185534
" $7,519 ",-81.942561,40.80897
" $13,000 ",-88.203595,41.709835
" $7,000 ",-81.7494405,26.5591841
" $10,000 ",-93.335761,44.9484028
" $5,000 ",-81.9427724,26.6890777
" $12,500 ",-87.6338894,41.9057433
" $25,000 ",-81.825498,26.352402
" $50,000 ",-87.8650569,42.2445243
" $7,577 ",-83.1338757,40.1106768
" $91,330 ",-88.204776,41.521497
" $50,000 ",-78.728409,42.983666
" $50,000 ",-82.9195487,40.1556915
" $10,000 ",-83.1485924,40.0928952
" $31,000 ",-85.7058353,38.2602963
" $30,420 ",-81.437741,41.177311
" $5,000 ",-116.375909,43.708368
" $50,000 ",-74.2037623,40.8042502
" $5,000 ",-72.746871,42.1321597
" $5,000 ",-83.940454,39.681918
" $10,000 ",-75.8474336,41.2436781
" $5,500 ",-89.6223,35.047
" $24,200 ",-73.9940525,40.7483136
" $5,000 ",-88.3490949,33.4626925
" $5,000 ",-81.721861,28.0467866
" $80,000 ",-122.1205072,37.3753216
" $13,000 ",-92.3519123,34.748673
" $15,100 ",-122.183697,37.451995
" $7,000 ",-92.5996687,34.6006412
" $10,545 ",-71.2030349,42.1863076
" $12,000 ",-95.9632618,36.0947137
" $35,000 ",-95.9632618,36.0947137
" $15,000 ",-80.078332,32.683484
" $7,000 ",-95.937826,36.0649157
" $5,000 ",-91.128116,30.447845
" $10,000 ",-95.8079101,35.999269
" $7,500 ",-93.281453,44.931369
" $6,000 ",-90.106558,30.0103632
" $10,000 ",-90.123117,29.949226
" $10,000 ",-96.6927245,43.5347567
" $10,000 ",-93.7472183,32.4283259
" $5,000 ",-98.655816,29.7298979
" $5,000 ",-98.4567316,29.4904148
" $10,000 ",-91.0344847,30.4235532
" $10,000 ",-91.0902066,30.362072
" $5,000 ",-92.049853,30.185534
" $45,000 ",-95.8543058,36.101521
" $21,489 ",-96.7981921,32.8657401
" $11,000 ",-71.2816921,44.3750799
" $277,321 ",-89.3856182,31.3207698
" $5,000 ",-82.720203,27.7577
" $18,000 ",-80.074318,26.584731
" $25,000 ",-74.780858,39.636331
" $14,125 ",-86.7481096,41.7869986
" $58,488 ",-86.2348538,39.8982083
" $10,000 ",-82.4106968,27.403437
" $5,000 ",-86.161914,39.781045
" $5,250 ",-86.161914,39.781045
" $10,000 ",-105.346737,39.6422278
" $13,000 ",-79.0229732,35.8685898
" $9,055 ",-85.9567753,39.8861872
" $17,681 ",-86.088419,39.982025
" $6,000 ",-85.136747,41.073026
" $23,250 ",-85.3081984,41.0634377
" $8,000 ",-85.1222813,41.1560429
" $5,250 ",-85.241985,41.053044
" $6,000 ",-97.377047,35.025785
" $10,000 ",-72.8331333,41.7229734
" $15,000 ",-80.8195505,35.1090804
" $5,000 ",-85.9569735,41.6748927
" $5,000 ",-81.9003075,26.555196
" $5,000 ",-81.381904,30.194674
" $6,000 ",-85.6079075,38.2605689
" $35,000 ",-97.5018411,32.6556349
" $75,000 ",-74.3604079,40.7162147
" $5,000 ",-90.9009923,33.4076988
" $5,000 ",-87.4826166,37.9804664
" $5,433 ",-81.399514,30.282154
" $66,800 ",-81.647,41.0942
" $5,000 ",-95.4023494,29.7531601
" $12,000 ",-81.647,41.0942
" $10,250 ",-97.3473726,27.7068506
" $5,500 ",-80.7525849,41.2380664
" $32,500 ",-97.7628639,30.3401837
" $10,000 ",-96.7696003,32.8364726
" $5,000 ",-77.8663226,34.2653959
" $5,500 ",-77.513171,43.071888
" $26,000 ",-97.684014,30.4545865
" $24,225 ",-97.6494185,30.6374351
" $7,000 ",-97.7519468,30.4036976
" $5,000 ",-97.6420596,30.3640988
" $30,000 ",-97.8591638,30.2498894
" $6,000 ",-107.2012887,39.3849732
" $5,000 ",-97.8440194,30.4249002
" $20,000 ",-97.8092179,30.296251
" $9,500 ",-73.9518354,40.7762045
" $5,000 ",-99.1484273,30.0438522
" $5,181 ",-98.4567316,29.4904148
" $20,000 ",-95.4489009,29.7416119
" $9,000 ",-97.8309218,30.3619583
" $8,000 ",-95.4043747,29.7063328
" $5,000 ",-96.2871042,30.5695401
" $8,414 ",-95.4166745,29.735617
" $15,000 ",-95.510936,29.77265
" $6,000 ",-95.5244526,29.8701469
" $5,000 ",-95.510936,29.77265
" $5,000 ",-95.4246904,29.7177016
" $9,000 ",-81.9236021,41.4488583
" $5,000 ",-71.42904,42.316779
" $25,000 ",-90.106558,30.0103632
" $6,000 ",-96.8900413,33.0045297
" $5,225 ",-96.8900413,33.0045297
" $100,000 ",-73.2110569,44.4774048
" $10,000 ",-80.0906099,26.8422532
" $10,250 ",-96.793753,32.833855
" $10,125 ",-96.871552,32.895662
" $5,513 ",-81.825498,26.352402
" $8,000 ",-81.3909912,30.0114272
" $5,000 ",-95.7427026,29.5379678
" $60,000 ",-93.6759168,45.0110364
" $5,600 ",-95.8079101,35.999269
" $10,000 ",-70.561416,41.582883
" $5,000 ",-73.978342,40.759201
" $5,000 ",-84.159569,39.684523
" $10,000 ",-84.0086851,35.8368981
" $10,884 ",-71.473341,41.644011
" $15,000 ",-97.3328321,35.69162
" $5,000 ",-95.5197085,29.7357045
" $5,000 ",-84.477222,34.113071
" $7,505 ",-73.355186,41.141749
" $10,000 ",-97.4396439,35.6892809
" $25,000 ",-84.976337,32.521331
" $5,000 ",-84.460825,39.23003
" $5,125 ",-98.1011672,29.6959504
" $20,000 ",-84.3133314,39.1629845
" $5,000 ",-86.808366,33.470266
" $50,877 ",-88.6596141,31.6760561
" $20,000 ",-97.766778,30.289247
" $18,000 ",-84.8212833,33.3784541
" $10,000 ",-86.7946681,33.41486
" $6,000 ",-74.8546899,40.5162038
" $50,000 ",-102.3566774,31.8569529
" $6,150 ",-84.10175,35.8716501
" $5,000 ",-90.106558,30.0103632
" $20,000 ",-74.4459288,40.3264423
" $15,000 ",-95.794181,38.99347
" $35,000 ",-70.82686,42.558676
" $11,000 ",-82.3771666,29.6774517
" $5,000 ",-82.308962,34.85879
" $15,375 ",-96.871552,32.895662
" $13,000 ",-77.12954,38.783107
" $5,125 ",-92.97816,34.646997
" $15,416 ",-82.463528,27.2374043
" $5,000 ",-95.4601402,29.7069831
" $6,251 ",-79.0441561,35.9351424
" $10,000 ",-85.858656,41.227108
" $352,000 ",-97.8092179,30.296251
" $5,000 ",-84.472158,37.959978
" $5,000 ",-84.4246767,33.85535
" $6,000 ",-95.6744857,29.8375096
" $10,000 ",-81.317657,41.391663
" $6,000 ",-75.2768175,40.1496929
" $8,000 ",-84.2308288,30.4752844
" $20,000 ",-77.099577,38.992455
" $5,000 ",-97.0887692,32.6947187
" $50,000 ",-74.8987876,39.950279
" $10,758 ",-97.0866987,32.9365602
" $30,057 ",-105.04448,39.4938284
" $17,500 ",-96.839623,32.752367
" $47,908 ",-87.042476,41.478991
" $20,379 ",-85.011108,41.638647
" $10,000 ",-97.006444,33.024552
" $10,000 ",-95.4246904,29.7177016
" $15,564 ",-82.7083021,27.8593142
" $5,000 ",-75.1449349,40.1852281
" $35,000 ",-96.840152,33.001357
" $14,000 ",-81.2081997,28.6491005
" $35,000 ",-81.3476047,28.7008165
" $12,500 ",-74.9720507,39.8470732
" $25,113 ",-95.466708,29.7460967
" $25,000 ",-121.1490231,38.6684376
" $10,000 ",-97.742005,30.270187
" $15,000 ",-121.1867709,38.7490891
" $5,000 ",-121.1867709,38.7490891
" $15,000 ",-121.1867709,38.7490891
" $10,000 ",-121.9457099,36.5929212
" $20,000 ",-80.8568947,35.4164205
" $16,000 ",-97.8694932,30.5676921
" $5,000 ",-121.3030016,38.1262977
" $5,000 ",-121.262736,38.122174
" $6,250 ",-121.3361958,38.7735149
" $15,000 ",-121.3030016,38.1262977
" $30,000 ",-121.3305793,38.6311646
" $10,250 ",-82.5549794,35.5960694
" $11,000 ",-121.404237,38.589231
" $22,073 ",-121.4401695,38.5677243
" $10,000 ",-121.3305793,38.6311646
" $10,200 ",-121.530503,38.494976
" $7,610 ",-121.498771,38.518675
" $6,000 ",-121.385524,38.625094
" $7,000 ",-121.3361958,38.7735149
" $15,000 ",-121.0658505,39.1156622
" $25,200 ",-121.219047,38.682315
" $5,500 ",-121.0678605,38.6686047
" $7,421 ",-120.414833,37.697649
" $25,000 ",-122.837732,38.39218
" $7,000 ",-121.756374,38.554053
" $5,000 ",-122.673515,38.235426
" $25,000 ",-122.837732,38.39218
" $5,000 ",-121.6436372,37.1283931
" $10,000 ",-122.8707511,38.618216
" $5,000 ",-123.2072752,39.1535258
" $11,000 ",-122.7442054,38.4729505
" $5,000 ",-123.01467,38.797123
" $5,000 ",-120.84921,37.0627612
" $8,417 ",-119.683506,36.823066
" $20,000 ",-112.0087393,33.5837848
" $35,000 ",-111.962377,33.549735
" $5,000 ",-122.4174306,37.7529881
" $5,000 ",-105.018393,40.1647284
" $5,000 ",-111.840365,33.819613
" $5,000 ",-119.1224043,35.3907235
" $5,125 ",-111.881471,33.673526
" $45,000 ",-119.802324,36.796696
" $7,625 ",-122.1925969,47.676241
" $10,000 ",-66.069908,18.427066
" $10,000 ",-111.893503,33.553332
" $7,000 ",-112.0951246,33.629291
" $25,000 ",-122.377938,47.690166
" $10,000 ",-111.881471,33.673526
" $5,150 ",-122.2453,47.499708
" $10,568 ",-112.0736985,33.4936097
" $6,120 ",-97.766778,30.289247
" $5,000 ",-97.7628639,30.3401837
" $6,000 ",-98.7562767,29.4672898
" $9,995 ",-117.7687676,33.5421134
" $5,000 ",-87.0332923,32.4195193
" $20,500 ",-117.8341913,33.7537995
" $5,000 ",-117.739062,33.859156
" $7,000 ",-117.80712,33.887409
" $30,000 ",-117.614409,33.4256414
" $40,000 ",-117.802318,33.792817
" $83,000 ",-117.950689,33.710927
" $10,000 ",-117.8929882,33.8763837
" $5,000 ",-117.954,33.9555
" $5,000 ",-117.7021473,33.4745152
" $20,000 ",-117.8341913,33.7537995
" $7,000 ",-117.9255463,33.6209319
" $5,000 ",-117.758943,33.706062
" $6,000 ",-117.85766,33.8801996
" $9,000 ",-117.70291,33.535734
" $10,000 ",-118.3761325,33.7751127
